PLAYER,TEAM,GM,MIN,5i,PTS,3PM,3PA,3P%,2PM,2PA,2P%,FTM,FTA,FT%,DREB,OREB,TREB,AS,ST,TO,BL,BA,DU,FR,FA,+/-,VAL
Rodijs Macoha,FUE,17.0,160.49,2.0,29.0,1.0,13.0,7.7,11.0,21.0,52.4,4.0,6.0,66.7,14.0,8.0,22.0,3.0,8.0,10.0,2.0,1.0,0.0,32.0,7.0,-79.0,4.0
Adama  Traore,FUE,1.0,0.09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
Osas Ehigiator,FUE,4.0,18.02,0.0,4.0,0.0,0.0,0.0,2.0,5.0,40.0,0.0,2.0,0.0,0.0,0.0,0.0,1.0,1.0,3.0,0.0,0.0,1.0,5.0,1.0,-19.0,-6.0
Matija Samar,FUE,8.0,28.06,1.0,8.0,2.0,5.0,40.0,1.0,5.0,20.0,0.0,1.0,0.0,2.0,1.0,3.0,2.0,0.0,3.0,0.0,0.0,0.0,9.0,2.0,-13.0,-5.0
Howard Sant-Roos,CAZ,23.0,614.32,19.0,224.0,26.0,84.0,31.0,46.0,97.0,47.4,54.0,73.0,74.0,68.0,10.0,78.0,96.0,35.0,43.0,4.0,2.0,6.0,41.0,76.0,-56.0,299.0
Tryggvi Hlinason,CAZ,22.0,419.03,15.0,154.0,0.0,1.0,0.0,63.0,79.0,79.7,28.0,53.0,52.8,65.0,47.0,112.0,19.0,8.0,30.0,43.0,0.0,35.0,62.0,55.0,-4.0,257.0
Santi Yusta,CAZ,23.0,532.41,12.0,257.0,17.0,84.0,20.2,68.0,127.0,53.5,70.0,92.0,76.1,60.0,19.0,79.0,35.0,33.0,51.0,3.0,8.0,7.0,60.0,92.0,-9.0,232.0
Justinian Jessup,CAZ,22.0,588.58,12.0,279.0,46.0,123.0,37.4,59.0,116.0,50.9,23.0,30.0,76.7,54.0,16.0,70.0,28.0,23.0,23.0,3.0,6.0,1.0,31.0,24.0,-26.0,226.0
Christian Mekowulu,CAZ,17.0,354.2,10.0,162.0,2.0,5.0,40.0,52.0,102.0,51.0,52.0,77.0,67.5,60.0,41.0,101.0,13.0,9.0,31.0,14.0,6.0,8.0,45.0,56.0,-7.0,195.0
Borisa Simanic,CAZ,22.0,430.26,9.0,124.0,17.0,54.0,31.5,26.0,52.0,50.0,21.0,23.0,91.3,55.0,16.0,71.0,9.0,6.0,12.0,16.0,1.0,3.0,24.0,24.0,25.0,148.0
Aday Mara,CAZ,18.0,203.02,1.0,108.0,2.0,2.0,100.0,43.0,72.0,59.7,16.0,25.0,64.0,38.0,19.0,57.0,7.0,3.0,12.0,14.0,2.0,21.0,28.0,23.0,-46.0,132.0
Marcel Ponitka,CAZ,21.0,311.25,6.0,101.0,5.0,27.0,18.5,32.0,72.0,44.4,22.0,36.0,61.1,33.0,6.0,39.0,39.0,11.0,33.0,3.0,9.0,3.0,33.0,47.0,-17.0,89.0
Stefan Jovic,CAZ,10.0,248.47,5.0,82.0,10.0,29.0,34.5,24.0,42.0,57.1,4.0,10.0,40.0,25.0,2.0,27.0,35.0,13.0,16.0,3.0,3.0,1.0,21.0,12.0,23.0,89.0
Chris Wright,CAZ,15.0,297.59,11.0,107.0,13.0,29.0,44.8,27.0,60.0,45.0,14.0,22.0,63.6,19.0,5.0,24.0,39.0,16.0,34.0,0.0,5.0,0.0,32.0,20.0,-18.0,78.0
Dino Radoncic,CAZ,12.0,219.12,5.0,60.0,0.0,2.0,0.0,23.0,44.0,52.3,14.0,25.0,56.0,26.0,24.0,50.0,7.0,9.0,13.0,1.0,2.0,2.0,24.0,22.0,-47.0,76.0
Iván Cruz,CAZ,7.0,152.57,6.0,54.0,4.0,16.0,25.0,18.0,31.0,58.1,6.0,10.0,60.0,23.0,8.0,31.0,7.0,5.0,9.0,1.0,1.0,0.0,8.0,10.0,-23.0,61.0
Rihards Lomazs,CAZ,5.0,102.18,2.0,31.0,4.0,9.0,44.4,7.0,22.0,31.8,5.0,9.0,55.6,3.0,1.0,4.0,6.0,2.0,3.0,1.0,2.0,0.0,15.0,12.0,-14.0,12.0
Frankie Ferrari,CAZ,7.0,123.04,2.0,37.0,7.0,27.0,25.9,8.0,23.0,34.8,0.0,1.0,0.0,6.0,3.0,9.0,14.0,4.0,13.0,1.0,2.0,0.0,16.0,10.0,-42.0,8.0
Maodo Nguirane,CAZ,7.0,18.58,0.0,10.0,0.0,0.0,0.0,4.0,7.0,57.1,2.0,5.0,40.0,0.0,4.0,4.0,0.0,0.0,2.0,0.0,0.0,0.0,3.0,3.0,4.0,6.0
Javi García,CAZ,10.0,69.35,0.0,11.0,3.0,6.0,50.0,1.0,8.0,12.5,0.0,0.0,0.0,11.0,1.0,12.0,7.0,0.0,4.0,0.0,1.0,0.0,12.0,2.0,10.0,5.0
Lucas Langarita,CAZ,2.0,7.13,0.0,3.0,1.0,1.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,-5.0,3.0
Miguel  Flores,CAZ,1.0,0.06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-5.0,0.0
