PLAYER,TEAM,GM,MIN,5i,PTS,3PM,3PA,3P%,2PM,2PA,2P%,FTM,FTA,FT%,DREB,OREB,TREB,AS,ST,TO,BL,BA,DU,FR,FA,+/-,VAL
Aday Mara,CAZ,18.0,11.16,0.1,6.0,0.1,0.1,100.0,2.4,4.0,59.7,0.9,1.4,64.0,2.1,1.1,3.2,0.4,0.2,0.7,0.8,0.1,1.2,1.6,1.3,-2.0,7.3
Borisa Simanic,CAZ,22.0,19.33,0.4,5.6,0.8,2.5,31.5,1.2,2.4,50.0,1.0,1.0,91.3,2.5,0.7,3.2,0.4,0.3,0.5,0.7,0.0,0.1,1.1,1.1,1.0,6.7
Dino Radoncic,CAZ,12.0,18.16,0.4,5.0,0.0,0.2,0.0,1.9,3.7,52.3,1.2,2.1,56.0,2.2,2.0,4.2,0.6,0.8,1.1,0.1,0.2,0.2,2.0,1.8,-3.0,6.3
Chris Wright,CAZ,15.0,19.51,0.7,7.1,0.9,1.9,44.8,1.8,4.0,45.0,0.9,1.5,63.6,1.3,0.3,1.6,2.6,1.1,2.3,0.0,0.3,0.0,2.1,1.3,-1.0,5.2
Marcel Ponitka,CAZ,21.0,14.49,0.3,4.8,0.2,1.3,18.5,1.5,3.4,44.4,1.0,1.7,61.1,1.6,0.3,1.9,1.9,0.5,1.6,0.1,0.4,0.1,1.6,2.2,0.0,4.2
Rihards Lomazs,CAZ,5.0,20.27,0.4,6.2,0.8,1.8,44.4,1.4,4.4,31.8,1.0,1.8,55.6,0.6,0.2,0.8,1.2,0.4,0.6,0.2,0.4,0.0,3.0,2.4,-2.0,2.4
Frankie Ferrari,CAZ,7.0,17.34,0.3,5.3,1.0,3.9,25.9,1.1,3.3,34.8,0.0,0.1,0.0,0.9,0.4,1.3,2.0,0.6,1.9,0.1,0.3,0.0,2.3,1.4,-6.0,1.1
Lucas Langarita,CAZ,2.0,3.36,0.0,1.5,0.5,0.5,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.5,0.0,-2.0,1.5
Maodo Nguirane,CAZ,7.0,2.42,0.0,1.4,0.0,0.0,0.0,0.6,1.0,57.1,0.3,0.7,40.0,0.0,0.6,0.6,0.0,0.0,0.3,0.0,0.0,0.0,0.4,0.4,0.0,0.9
Javi García,CAZ,10.0,6.57,0.0,1.1,0.3,0.6,50.0,0.1,0.8,12.5,0.0,0.0,0.0,1.1,0.1,1.2,0.7,0.0,0.4,0.0,0.1,0.0,1.2,0.2,1.0,0.5
Miguel  Flores,CAZ,1.0,0.06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-5.0,0.0
Pablo  Aso,CAZ,1.0,5.24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,-8.0,-2.0
Maik Kotsar,BKN,21.0,19.4,0.6,9.8,0.0,0.0,0.0,3.5,5.7,61.3,2.8,4.0,71.1,3.3,2.0,5.3,1.2,0.7,0.9,0.4,0.4,0.3,2.0,3.6,7.0,14.2
Matt Costello,BKN,21.0,20.03,0.1,10.0,1.0,2.8,36.2,2.6,3.7,70.5,1.8,2.6,70.4,3.6,1.4,5.0,1.8,0.8,1.0,1.2,0.2,0.8,2.3,2.4,7.0,14.2
Darius Thompson,BKN,21.0,21.44,0.6,9.8,0.8,2.1,37.8,2.9,5.7,50.0,1.6,2.1,77.3,2.0,0.9,2.9,6.1,1.1,1.9,0.4,0.3,0.3,1.9,2.5,7.0,14.0
Tadas Sedekerskis,BKN,17.0,22.17,0.5,6.9,0.6,1.7,34.5,2.0,2.9,68.0,1.2,1.5,80.0,4.6,1.2,5.8,1.8,0.8,0.6,0.0,0.4,0.4,1.0,1.5,6.0,12.5
Rokas Giedraitis,BKN,21.0,21.34,0.4,10.2,1.4,3.3,42.9,2.3,3.3,71.0,1.3,1.6,79.4,2.5,0.7,3.2,1.1,0.9,1.0,0.0,0.1,0.3,1.6,1.8,5.0,11.3
Max Heidegger,BKN,5.0,23.04,0.8,12.2,1.8,4.6,39.1,1.6,3.6,44.4,3.6,4.4,81.8,1.8,0.2,2.0,4.4,0.4,2.2,0.0,0.6,0.0,2.2,3.2,-1.0,11.6
Pierria Henry,BKN,10.0,23.37,0.3,7.6,0.6,1.7,35.3,1.9,5.2,36.5,2.0,3.0,66.7,2.1,0.7,2.8,6.5,1.5,2.6,0.1,0.6,0.0,2.1,3.3,7.0,11.1
Daulton Hommes,BKN,16.0,18.09,0.6,10.9,2.4,4.4,53.5,1.3,2.1,58.8,1.3,1.3,100.0,2.5,0.4,2.9,1.0,0.6,1.1,0.2,0.3,0.1,2.1,1.4,8.0,10.6
Markus Howard,BKN,19.0,18.42,0.5,14.9,2.9,6.8,43.1,1.9,3.9,50.0,2.2,2.8,77.8,0.8,0.5,1.3,1.5,0.8,2.1,0.0,0.4,0.0,2.4,2.6,6.0,9.7
Steven Enoch,BKN,16.0,19.03,0.7,7.9,0.1,0.3,50.0,3.3,5.7,58.2,0.9,1.6,60.0,3.9,1.6,5.5,0.6,0.1,1.4,0.6,0.3,1.2,2.9,1.8,-2.0,8.8
Dani Díez,BKN,19.0,14.3,0.4,4.9,1.2,2.6,44.0,0.6,0.9,61.1,0.3,0.3,83.3,1.9,0.9,2.8,0.8,0.4,0.3,0.1,0.1,0.0,0.6,0.6,0.0,6.8
Vanja Marinkovic,BKN,19.0,19.28,0.5,8.6,1.8,4.7,38.2,1.1,3.0,36.8,1.1,1.6,66.7,1.3,0.3,1.5,1.3,1.0,1.0,0.1,0.2,0.1,2.1,1.8,0.0,5.7
Arturs Kurucs,BKN,21.0,16.55,0.4,4.8,1.2,2.8,43.1,0.5,1.2,42.3,0.1,0.2,75.0,0.7,0.2,0.9,1.6,0.5,1.0,0.1,0.0,0.1,2.1,0.5,4.0,2.9
Sander Raieste,BKN,19.0,11.38,0.3,3.0,0.5,1.3,40.0,0.5,1.1,50.0,0.4,0.6,63.6,0.9,0.3,1.2,0.3,0.5,0.3,0.0,0.1,0.3,1.9,0.6,0.0,1.7
Ousmane Ndiaye,BKN,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Pavel Savkov,BKN,1.0,2.23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
Alex Renfroe,COV,23.0,27.2,1.0,10.8,1.2,3.0,40.0,2.3,4.5,52.4,2.4,3.3,72.7,3.0,0.7,3.7,5.7,1.3,2.9,0.1,0.4,0.0,2.0,3.3,-4.0,14.6
Petit Niang,COV,23.0,21.25,0.5,7.9,0.0,0.0,0.0,3.4,4.8,71.2,1.0,1.8,58.5,3.8,2.1,5.9,0.7,0.5,0.8,1.1,0.3,1.0,1.4,1.6,-2.0,13.0
Cristiano Felicio,COV,11.0,22.23,1.0,12.8,0.2,1.1,16.7,4.5,8.0,56.8,3.2,4.0,79.5,2.7,2.4,5.1,0.9,0.2,1.7,0.2,0.5,1.1,2.3,3.4,-6.0,12.9
